Authors,Title,Discipline,Source title
"Mills T.C., Post C.",The ‘transnational turn’ in transatlantic studies,,Journal of Transatlantic Studies
"Mullin J.R., Kotval Z.","William Wood, The American Woolen Company and the Creation of a Model Mill Village in Shawsheen, Massachusetts",,Journal of Urban History
Conis E.,"Of Mumps and Men: Masculinity and the Severity of a Vaccine Preventable Disease in Western Medicine, 1760s–1960s",,Gender and History
"Petersson S., Dahlgren A.N.",Seeing Images: Metadata and Mediation in the Digital Archive,,Culture Unbound
Colby R.,"What ‘The Books … Would Tell’: Slavery, Freedom, and History in Slave Traders’ Archives",,Slavery and Abolition
Ginalski S.,How women broke into the old boys’ corporate network in Switzerland,,Business History
Kelleher A.,"‘The King's Other Islands of the Sea’: The Channel Islands in the Plantagenet Realm, 1254–1341",,History
Casper S.T.,The anecdotal patient: Brain injury and the magnitude of harm,,Notes and Records 
"Wood T., Jr., Souza R., Caldas M.P.","The relevance of management research debate: a historical view, 1876–2018",,Journal of Management History
"Mason D., James D., Andrew L., Fox J.R.E.",‘The last thing you feel is the self-disgust’. The role of self-directed disgust in men who have attempted suicide: A grounded theory study,,"Psychology and Psychotherapy: Theory, Research and Practice"
"Martínez I.D.P., Calderón M.L.L.","Tower of Jesuitic Church in Quito: history, proportions and measurements [Torre da igreja da Companhia de Jesús de Quito: história, proporções e medidas] [Torre de la iglesia de la Compañía de Jesús de Quito: historia, proporciones y medidas]",,Ge-Conservacion
Williams B.,The Parable of the Disappearing Gladiators: Interpreting a Late Antique Cultural Reference in Genesis Rabba's Exposition of the Cain and Abel Narrative,,Journal for the Study of Judaism
"Norkus Z., Morkevičius V., Ambrulevičiūtė A., Markevičiūtė J.",The Estonian antebellum paradox: a venture into the comparative anthropometric history of the Baltic countries in the early twentieth century,,Journal of Baltic Studies
Garrido M.D.,The urban footprint of Osuna wall. Study of plan and of documentary and archaeological sources [La huella urbana de la muralla de Osuna. Estudio del plano y de las fuentes documentales y arqueológicas],,Arqueologia y Territorio Medieval
Calvário R.,The making of peasant subalternity in Portugal: histories of marginalisation and resistance to agrarian modernisation,,Journal of Peasant Studies
Huang C.F.,Transgression in institutional space: Heteroglossic political signs in a Hong Kong university,,Journal of Sociolinguistics
"Inwood K., Maxwell-Stewart H.",Solitary confinement and health and other life course outcomes for convict women,,History Australia
Römhild J.,The body at the receiving end of political power. An interview with Bagryana Popov,,Thesis Eleven
"Fernández Labayen M., Melero A.","Naked weekends, white sheets, and masked erotica. The changing limits of decency in the Spanish sexy comedies of the transition to democracy",,Comedy Studies
Malich L.,Drug dependence as a split object: Trajectories of neuroscientification and behavioralization at the Max Planck Institute of Psychiatry,,Journal of the History of the Neurosciences
"Daneshgar Nejad Z., Nezhad Bahramjerdi S.F., Hanachi P.",The importance of construction techniques in the conservation of vernacular architecture of Masouleh,,Journal of Architectural Conservation
Gjoci B.,History of the Albanian system of education: Echoing the secret workings of national life,,Paedagogica Historica
Dunlop R.,"Disaster responses and Commonwealth involvement in community mental health, 1973–1975",,History Australia
Walshe R.A.,‘Who could have expected such a disaster?’ How responses to the 1892 cyclone determined institutional trajectories of vulnerability in Mauritius,,Journal of Historical Geography
Kim J.P.S.,Rethinking Haruki Murakami: An Alternative History of Traumas and Aftermaths in Kafka on the Shore,,Critique - Studies in Contemporary Fiction
"Padmanabhanunni A., Jackson K., Noordien Z., Pretorius T.B., Bouchard J.-P.",Characterizing the nature of professional training and practice of psychologists in South Africa [Caractéristiques de la formation professionnelle et de la pratique des psychologues en Afrique du Sud],,Annales Medico-Psychologiques
Mulder N.,The Economic Weapon: The Rise of Sanctions as a Tool of Modern War,,The Economic Weapon: The Rise of Sanctions as a Tool of Modern War
Pulos R.,Phyllis Diller and her fictional husband Fang,,Comedy Studies
Roper L.H.,"Reorienting the “origins debate”: Anglo-American trafficking in enslaved people, c. 1615–1660",,Atlantic Studies : Global Currents 
Hegarty B.,"Sex, crime and entertainment: Images of LGBT in the Indonesian news media",,Indonesia and the Malay World
"Kayhan Kocak F.O., Sahin S., Taşkıran E., Simsek H., Daylan A., Arman P., Dikmeer A., Kılıc F., Balci C., Tosun Tasar P., Doventas A., Yavuz B.B., Akcicek S.F.",Frequency and Risk Factors of Re-hospitalization in Geriatric Inpatient Wards: A Multicenter Retrospective Analysis,,Experimental Aging Research
"Zheng L., Zheng H., Kundu C.",Authorship Attribution via Occupancy-problem-type Indices,,Journal of Quantitative Linguistics
Lewis P.,"The Brief Career of “Betty Broadface,” Defender of “Old Maids”",,Early American Literature
Hurley A.W.,"Eerie Sounds, Then and Now: Listening in to Mid-Century Non-Indigenous Central Australian Soundscapes",,Journal of Australian Studies
Taylor K.,"“The first woman football coach..“: A Media Study of Female American Football Coaches, 1888-1946",,Feminist Media Studies
Basevich E.,"What Is an Anti-Racist Philosophy of Race and History? A New Look at Kant, Hegel, and Du Bois",,Critical Philosophy of Race
Brady E.,"""I Take the Pictures as i See Them"": Doris Derby as Womanist, Activist and Photographer in the Civil Rights Movement",,Journal of American Studies
Baker E.,The ultimate think tank: The rise of the Santa Fe Institute libertarian*,,History of the Human Sciences
Asta M.,Erratum: Intellectual History as History of Engagement? The French Scholarship (Modern Intellectual History DOI: 10.1017/S1479244321000184),,Modern Intellectual History
Mercier L.K.-C.,Warding Off the Ghosts of Race in the Historiography of Philosophy,,Critical Philosophy of Race
White W.A.,"Remembering Queen Mary: Heritage Conservation, Black People, Denmark, and St. Croix, U.S. Virgin Islands",,Journal of African Diaspora Archaeology and Heritage
"Coleborne C., Dunk J.",From the margins: madness and history in Australia,,History Australia
"Rouse R., Holloway-Attaway L.","Troubling games: Materials, histories, and speculative future worlds for games pedagogy",,Convergence
"Van Der Steen B., Nimanaj B., Hendriks E.",Erratum: The image of the foreign squatter: British and Irish youths in the Dutch city of Leiden during the 1990s (Urban History (2021) (1-23) DOI: 10.1017/S0963926821000675),,Urban History
Frost R.R.,A forgotten chapter in Egyptology: Sir John Gardner Wilkinson's investigations into a dynamic Nile,,Journal of Historical Geography
Prieto C.M.,Preserving the History of Cemanahuac Domingo Chimalpahin’s Rewriting of Spanish Narratives in the Annals of His Time (ca. 1608–1615),,Early American Literature
Artamonova L.M.,Posad as an Urban Settlement in the Age of “Enlightened Absolutism”: The Town of Masters and Merchants under the Canopy of the Holy Trinity [Посад как поселение в эпоху «просвещенного абсолютизма»: город мастеров и купцов под сенью Святой Троицы],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
"Churkin M.K., Navoichik E.Yu., Chernenko E.V., Churkina N.I.",Sociocultural and Professional Identity of the Generation of Soviet “Baby-Boomers” (On the Materials of the Deep Interviews of the Actors of the Scientific and Educational Community of OmSPU) [Социокультурная и профессиональная идентичность поколения советских «беби-бумеров» (по материалам глубинного интервью акторов научно-образовательного сообщества ОмГПУ)],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
"Deiana M.-A., Hagen J.J., Roberts D.","Nevertheless, they persisted. feminist activism and the politics of crisis in Northern Ireland",,Journal of Gender Studies
"Danner L.F., Danner F., Dorrico J.",Pacifying the white man: a history of modernity told by indigenous peoples [Pacificando o branco: uma história da modernidade contada pelos indígenas],,Trans/Form/Acao
de Oliveira J.R.,From southern epistemologies to a new South Ethos: traditional communities and environmental responsibility. [Das epistemologias do Sul a um novo Ethos Sulista: comunidades tradicionais e responsabilidade ambiental],,Trans/Form/Acao
"Kovalev M.V., Szobi P.",“Employees Make the Difference!”: Career Trajectories of First Employees of the Higher School of Economics in Prague (1950s) [«Кадры решают всё!»: профессиональные траектории первых сотрудников Высшей экономической школы в Праге (1950-е годы)],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
Dunk J.,"Wrongful confinement and the spectre of colonial despotism: a political history of madness in New South Wales, 1843",,History Australia
Reznikova M.A.,The Social Representation of the Volost Clerk in Tomsk Province (Late 19th - Early 20th Century) [Социальный облик волостного писаря в Томской губернии (конец XIX - начало XX века)],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
"Matsumoto K., Britain D.",Diaspora Japanese: Transnational mobility and language contact,,International Journal of the Sociology of Language
Kennerley S.,"Identity, Inquisition, and Censorship in the editio princeps of Theodoret of Cyrus's Anti-Heretical Works (1545-1547)",,Erudition and the Republic of Letters
Vieira M.A.,"Afro-Brazilian travesti voodoo in Castiel Vitorino Brasileiro or the implosion of the theatre of representation: body, gender, blackness [MACUMBARIAS TRAVESTIS EM CASTIEL VITORINO BRASILEIRO OU A IMPLOSÃO DO TEATRO DA REPRESENTAÇÃO: CORPO, GÊNERO, NEGRITUDE]",,Trans/Form/Acao
"Anisimov E.V., Bazarova T.A., Proskuryakova M.E.",“Our Patron and Protector”: The Language of Correspondents of A. D. Menshikov [«Наш патрон и заступник»: язык корреспондентов А. Д. Меншикова],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
Gregory J.,The Extreme Wish in Greek Literature,,Mnemosyne
Wolfson N.,After the “new aesthetic”: a short history of the cybernetic turn in Brazil,,AI and Society
Pierik B.,Patriarchal power as a conceptual tool for gender history,,Rethinking History
Jayakumar-Hazra C.K.L.,"“For here, we have not an enduring city, but we are looking for the city to come”: Dysgraphia of disaster and wayward Black futures in Jay Bernard’s Surge (2019)",,Journal of Postcolonial Writing
"Gultekin M., Tufekcioglu Z., Baydemir R.",Novel frameshift CTSF mutation causing kufs disease type B mimicking frontotemporal dementia-parkinsonism,,Neurocase
Dimpfl M.,"Clean bodies, dirty work: discomfort and housekeeping labor at a university in the US South",,"Gender, Place and Culture"
Kobul M.K.,Socioeconomic status influences Turkish digital natives’ internet use habitus,,Behaviour and Information Technology
Calabria T.,"Agents of settler colonialism?: childhood, time and exclusion in the fairbridge scheme, 1913–1924",,Settler Colonial Studies
Espírito Santo D.,The route of Orion: Towards a deconstructive history of alien contact in Chile,,History and Anthropology
Bowman H.,From Substitution to Solidarity: Towards an Abolitionist Atonement Theology,,Political Theology
Dževerdanović Pejović M.,Religious vs. Secular Discourse and the Change of Political Power in Montenegro,,Journal of Balkan and Near Eastern Studies
Castellanos S.L.V.,Childhood of the artificer apprentices in Maranhão Empire (1841–1899),,Paedagogica Historica
Rosa R.M.,"An Informational Challenge: HISMEDI, Spanish Transition and Multimedia History [Un reto informativo: Hismedi, la transición española y la historia multimedia]",,Vegueta
Zurita-Aldeguer R.,The Peninsular War and Digital History: Two Projects at the University of Alicante [Guerra de la Independencia e historia digital: Dos proyectos de la Universidad de Alicante],,Vegueta
"Hidalgo D.C., Martínez J.C., Martos B.H.",Digital History and the Question of Palestine: Developing Tools to Fight Memoricide [Historia digital y la cuestión de Palestina. Construyendo herramientas para combatir el memoricidio],,Vegueta
"Greenwald D.S., Oosterlinck K.","The changing faces of the Paris salon: Using a new dataset to analyze portraiture, 1740 –1881",,Poetics
Pons A.,Digital History: A Field in Search of Identity [Historia digital: Un campo en busca de identidad],,Vegueta
Quiroga N.,Historical Interpretation and Digital Objects: Considerations based on Concrete Examples [Interpretación histórica y objetos digitales: Consideraciones a partir de ejemplos concretos],,Vegueta
"Barbecho L.B., Toscano M.","Digital History: Projects, methods and perspectives [Historia Digital: Proyectos, métodos y perspectivas]",,Vegueta
"Ricketts E.J., Montalbano G.E., Burgess H.J., McMakin D.L., Coles M.E., Piacentini J., Colwell C.S.",Sleep and chronotype in adults with persistent tic disorders,,Journal of Clinical Psychology
"Thompson M.P., Kingree J.B.","Adverse Childhood Experiences, Sexual Victimization, and Suicide Ideation and Attempts: A Longitudinal Path Analysis Spanning 22 Years",,American Journal of Orthopsychiatry
Siegert N.,The Empty Pedestal: Artistic Practice and Public Space in Luanda,,Palgrave Macmillan Memory Studies
Jelin E.,"Across the Atlantic. Silences and Memories of Nazism in Remote Lands (Eldorado, Misiones)",,Palgrave Macmillan Memory Studies
"Wieser M., Benetka G.",Psychology in national socialism: The question of “professionalization” and the case of the “Ostmark”.,,History of Psychology
McCord E.A.,Toward a social history of modern Chinese warlordism,,Journal of Chinese Military History
"Pisula W., Mamzer H., Mirecki J., Lauterbach R., Doliński D.",A neglected and forgotten episode of Nazi Race Psychology in Occupied Poland: A critical analysis by T. Tomaszewski (1945).,,History of Psychology
"Paz M., Teixeira I., Lima D.",Are new pandemics a historical fate of human evolution? Education and the contribution from a geoethical perspective,,Paedagogica Historica
"Pol O., Bridgman T., Cummings S.",The forgotten ‘immortalizer’: Recovering William H Whyte as the founder and future of groupthink research,,Human Relations
"Zora L.F.V., Bohórquez A.V.O.",On religious education and secular education in Colombia. Regulations and policies (1930-2020) [Sobre educação religiosa e educação secular na Colômbia. Regulamentos e políticas (1930-2020)] [De la educación religiosa y la educación laica en Colombia. Normatividades y políticas (1930-2020)*],,Revista Colombiana de Sociologia
"Chong S.W., Reinders H.",Autonomy of English language learners: A scoping review of research and practice,,Language Teaching Research
Swenson A.,Contesting Sensory Memories: Smithfield Market in London,,Palgrave Macmillan Memory Studies
O’Mahoney J.,The role of born digital data in confronting a difficult and contested past through digital storytelling: the Waterford Memories Project,,AI and Society
"Byrne T., Tsai J.",Actuarial Prediction Versus Clinical Prediction of Exits From a National Supported Housing Program,,American Journal of Orthopsychiatry
Zhao Y.,FRONT VOWEL CHAIN SHIFT AND THE VOWEL REPHONOLOGIZATION IN EARLY MIDDLE CHINESE,,Journal of Chinese Linguistics
Bolman B.,Critical Periods in Science and the Science of Critical Periods: Canine Behavior in America,,Berichte zur Wissenschaftsgeschichte
Assmann A.,(In)visible Monuments. What Makes Monuments Controversial?,,Palgrave Macmillan Memory Studies
"Meghana R.K., Rajshekhar R.","Ancient Landscape Groves of India: The Case of Nallur Thopu, Devanahalli, Bangalore, India",,ISVS E-journal
"Ballesteros D., Painchault A., Puente-Berdasco B., Nehme C., Todisco D., García-Alonso J.I., Varano M., Mouralis D.",Sourcing of chalkstone used in medieval buildings in the Eastern Duchy of Normandy (10th−14th centuries) through geological and geochemistry analyses,,Geoarchaeology
Ravagli-Cardona J.,Education as socialisation: a historical-legal revision of the Catholic influence on Colombian Religious Education* [Educação como socialização: uma revisão histórico-legal da influência católica na educação religiosa colombiana] [Educación como socialización: una revisión histórico-legal de la influencia católica en la educación religiosa colombiana],,Revista Colombiana de Sociologia
Arantes P.A.C.,Waldemar Cordeiro and Arteônica: rewritings of digital art in Brazil and Latin America,,AI and Society
"Kranz A.M., Steiner E.D., Mitchell J.M.",School-Based Health Services in Virginia and the COVID-19 Pandemic,,Journal of School Health
Landeros Jaime F.J.,The violence during the life course of Venezuelan migrant women in Chile [La violencia en el trayecto de vida de mujeres migrantes venezolanas en Chile],,Estudios Fronterizos
"Muntadas B., Torrents A.",The future is yet to be created: temporality and imagination in the Anthropocene [El futuro está por crear: temporalidad e imaginación en el Antropoceno],,Artnodes
"Kappler S., McKane A.","Negotiating Binaries in Curatorial Practice: Modality, Temporality, and Materiality in Cape Town’s Community-led Urban History Museums",,Palgrave Macmillan Memory Studies
"Walby K., Davis B.",Tailings and tracings: using art and social science to explore the limits of visual methods at mining and industrial ruins,,Visual Communication
Hanick R.,"Enfolding the Hand, Entrancing the Eye: Erica Baum’s Dog Ear",,Open Library of Humanities
"Cramer R.J., Peiper L.J., Kaniuka A.R., Diaz-Garelli F., Baker J.C., Robertson R.A.",Development of the Self-Injury Risk Assessment Protocol for Corrections (SIRAP-C),,Law and Human Behavior
Browning R.,The Agnus Dei: Towards a Missional Dimension,,Journal of Anglican Studies
Odenwald J.,"Ethologists in the Kindergarten: Natural Behavior, Social Rank, and the Search for the “Innate” in Early Human Ethology (1960s-1970s)",,Berichte zur Wissenschaftsgeschichte
Smith T.,Josephus's Jewish Antiquities in Competition with Nicolaus of Damascus's Universal History,,Journal of Ancient Judaism
Schwarzer A.,(De)colonial Memory Practices in Germany’s Public Space,,Palgrave Macmillan Memory Studies
Pinta M.F.,The end of Europe (and of what is not Europe). Motifs and Versions of the Ending According to Rafael Spregelburd [O fim da Europa (e do que não é Europa). Motivos e versões do final segundo Rafael Spregelburd] [El fin de Europa (y de lo que no es Europa). Motivos y versiones del final según Rafael Spregelburd],,Anclajes
Wilner I.L.,"Body Knowledge, Part I: Dance, Anthropology, and the Erasure of History",,Journal of the History of Ideas
Nakhimovsky I.,"Georg Lukács and Revolutionary Realpolitik, 1918–19: An Essay on Ethical Action, Historical Judgment, and the History of Political Thought",,Journal of the History of Ideas
Edelstein D.,A “Revolution” in Political Thought: Translations of Polybius Book 6 and the Conceptual History of Revolution,,Journal of the History of Ideas
Johnson S.,Farewell to The German Ideology,,Journal of the History of Ideas
"Michie H., Warhol R.",Synchronic Reading,,Narrative
"Hu Z., Yan M., Zhou Z., Wang J.",Seismic vulnerability analysis of precast segmental bridge piers [预制拼装桥墩地震易损性分析],,Tumu Gongcheng Xuebao/China Civil Engineering Journal
Antonucci F.,"The Handwritten and Printed Tradition of El mejor alcalde, el rey, from the End of the 17th Century to the End of the 18th Century [LA TRADICIÓN MANUSCRITA E IMPRESA DE EL MEJOR ALCALDE, EL REY, DESDE FINALES DEL SIHLO XVII HASTA FINALES DEL SIHLO XVIII]",,Anuario Lope de Vega
"Hernàndez-Cardona F.X., Sospedra-Roca R., Casals-Ausió J.R.","VIRTUAL AND DIDACTIC APPROACH TO THE DEFENSIVE HERITAGE OF THE 16TH CENTURY FORT OF THE TRINITAT (ROSES, GIRONA) [APROXIMACIÓN VIRTUAL Y DIDÁCTICA AL PATRIMONIO DEFENSIVO DE LA FORTALEZA DEL SIGLO XVI DE LA TRINITAT (ROSAS, GIRONA)]",,Virtual Archaeology Review
Jiménez M.S.,Linguistic Varieties in Homegoing: Translating the Other's Voice into Spanish,,Revista Alicantina de Estudios Ingleses
"Bartik P., de Brito A.V., Swider P., Cynarski W.J.",Chronicle of science around fighting arts 2021,,Ido Movement for Culture
Žarić M.S.,THE PROBLEM OF THE HISTORIZATION OF 20TH CENTURY SERBIAN FASHION 1920-1980,,Istorija 20 Veka
Paganelli M.P.,ADAM SMITH AND ECONOMIC DEVELOPMENT IN THEORY AND PRACTICE: A REJECTION OF THE STADIAL MODEL?,,Journal of the History of Economic Thought
Zolyan S.T.,Yuri Lotman: On problems of language and linguistics,,Voprosy Jazykoznanija
Ríos Peñafiel M.E.,A Chinese Buddhist Ecological Narrative: From the Pure Land to the “Beautiful Country” of Xi Jinping,,Contemporary Buddhism
"Tsang R., Katuk S., May S.K., Taçon P.S.C., Ricaut F.-X., Leavesley M.G.","Rock Art and (Re)Production of Narratives: A Cassowary Bone Dagger Stencil Perspective from Auwim, East Sepik, Papua New Guinea",,Cambridge Archaeological Journal
Anaz N.,An Assessment of Turkey’s Soft Power Resources in Asia: Potential and Limitations,,Journal of Balkan and Near Eastern Studies
"Siklósi Z., Faragó N., Dani J., Csedreki L., Kertész Z., Szikszai Z., Szilágyi M.","Creating Histories: Different Perspectives, Controversial Narratives at Rákóczifalva, an Early Copper Age Site on the Great Hungarian Plain [Créer des histoires: différentes perspectives, narrations controversées à Rákóczifalva, site du Chalcolithique ancien sur la Grande Plaine Hongroise]",,European Journal of Archaeology
"Money D., Teh L.","Race at Work: A Comparative History of Mining Labor and Empire on the Central African Copperbelt and the Fushun Coalfields, ca. 1907-1945",,International Labor and Working-Class History
Eriksen T.H.,Axel Sommerfelt in the history of social anthropology,,History and Anthropology
Figueiredo G.,"Towards a pragmatist anthropology: Objectivity, relativism, ethnocentrism, and intropathy",,Anthropological Theory
Guest P.,The Forum-Basilica at Caerwent (Venta Silurum): A History of the Roman Silures,,Britannia
Roberts-Pedersen E.,Towards a (bio)cultural history of the brain?,,History Australia
Guiliano Z.,Tangled roots: the legacy of Christian mastery and anti-racism today,,Practical Theology
"Mahapatra S.K., Anderson J.",Languages for learning: a framework for implementing India’s multilingual language-in-education policy,,Current Issues in Language Planning
"Edwards J.R., West B.",The problematical nature of auditor independence: a historical perspective,,Accounting History Review
Hofmann M.,(Ab)normality and (in)educability—whose voices can be found in historical sources on intellectually “abnormal” children?,,Paedagogica Historica
Schmaltz F.,Brain research on Nazi “euthanasia” victims: Legal conflicts surrounding Scientology’s instrumentalization of the Kaiser Wilhelm Society’s history against the Max Planck Society,,Journal of the History of the Neurosciences
"Ellis R., Coleborne C.",Co-producing madness: international perspectives on the public histories of mental illness,,History Australia
Stansfield J.,Talking points: Oral histories of Australian and British speech-language pathologists who qualified in the three decades after 1945,,International Journal of Speech-Language Pathology
"Das C., Tripathi P.",Exploring the Margins of Kotha Culture: Reconstructing a Courtesan’s life in Neelum Saran Gour’s Requiem in Raga Janki,,CLCWeb - Comparative Literature and Culture
Stone A.,Later Nineteenth-Century Women Philosophers on Mind and Its Place in the World,,Journal of the History of Philosophy
"Hassett T.C., Hampton R.R.",Control of Attention in Rhesus Monkeys Measured Using a Flanker Task,,"Attention, Perception, and Psychophysics"
Bourmaud P.,"Between Nationalism, Internationalism and Colonial Quadrillage: The Action Chrétienne en Orient in Mandatory Syria (1922–1946)",,Transformation
Da Silva Lermen N.H.,Engagements between global labor history and translocal microhistory [Engajamentos entre a História Global do Trabalho e a micro-história translocal],,Fronteiras(Brazil)
Bonfiglioli C.,State socialist women’s organizations within Yugoslav factories: a case study of local activism in the Duga Resa cotton mill,,Social History
França A.M.,"Reading history through landscape: socio-environmental transformations from a museum and its surroundings (Punta Indio, Buenos Aires, Argentina) [Leyendo la historia a través del paisaje: las transformaciones socioambientales desde un museo y sus alrededores (Punta Indio, Buenos Aires, Argentina)]",,Fronteiras(Brazil)
"De Souza F.C., Aguiar J.O.",Vertical cities - a new standard of modern cities: A case study on the urban verticalization of Campina Grande/PB and its social and environmental impacts (1960-2012) [Cidades verticais - um novo padrão de cidades modernas: Um estudo de caso sobre a verticalização urbana de Campina Grande/PB e seus impactos socioambientais (1960-2012)],,Fronteiras(Brazil)
Plevoets B.,Heritage in fragments: on spolia and other forms of preservation of architectural fragments through reuse,,Journal of Architectural Conservation
Kılınçarslan R.Ö.,In the Memory of Joseph Beuys: An Exhibition from the 1980s and Its Impact on the Izmir Contemporary Art Scene [Joseph Beuys'un Anısına: 1980'lerden Bir Sergi ve Izmir Çağdaş Sanat Ortamına Etkisi],,Art-Sanat Dergisi
"Hetto O., Köroğlu G., Çorağan N.",Mosaic Panel on Refrigerium from Sinop Balatlar Church and its Place in Byzantine Iconography [Sinop Balatlar Kilisesi’nden Refrigerium Konulu Mozaik Pano ve Bizans Ikonografisindeki Yeri],,Art-Sanat Dergisi
Aykaç R.,"Sample Works from the Turkish-Islamic Era in the Museums of Aleppo, Hama, and Rakka of Syria [Suriye Halep, Hama ve Rakka Müzelerindeki Türk-Islam Dönemine Ait Eserlerden Örnekler]",,Art-Sanat Dergisi
"De Cristo T., Da Silva Laroque L.F.",Non-Human actions in the missionary world of the jesuitic Province of Paraguay: A perspective of Environmental History [Ações não humanas no mundo missioneiro da província jesuítica do Paraguay: Uma perspectiva da história ambiental],,Fronteiras(Brazil)
"Kohlhepp G., Silva S.D.",Colonization in Central Brazil: The agricultural frontier in Mato Grosso from the 1950s to the 1970s [Colonização no Brasil Central: A fronteira agrícola em Mato Grosso entre as décadas de 1950 a 1970],,Fronteiras(Brazil)
Ferri G.K.,Proof global history: A balance on historiographical criticism and propositions [História global à prova: Um balanço sobre críticas e proposições historiográficas],,Fronteiras(Brazil)
"Costa M.I.F., Tavares G.G.",The cultivation of upland rice in north goiano between 1960 and 1980 [O cultivo do arroz de sequeiro no Norte goiano entre 1960 e 1980],,Fronteiras(Brazil)
"De Paiva Araújo N.R., Dos Santos E.",The sabilities and visibility of the natural hills in Oswaldo Lamartine de Faria [A dizibilidade e visibilidade do sertão natural em Oswaldo Lamartine de Faria],,Fronteiras(Brazil)
De Oliveira Leite L.A.,Capitalization of nature and environmental policies in the Province of Paraná (1854-1865): A portrait of the senses of nature in modernity [Capitalização da natureza e políticas ambientais na Província do Paraná (1854-1865): Um retrato dos sentidos de natureza na modernidade],,Fronteiras(Brazil)
Lopes A.R.S.,Interfaces between Environmental History and Agroecology for Teaching History in the Anthropocene [Interfaces entre História Ambiental e Agroecologia para o Ensino de História no Antropoceno],,Fronteiras(Brazil)
Collis-Buthelezi V.J.,“Does The Water Repeat?”: Reading Caribbean-South African Contemporary Fiction,,Interventions
"Taşkan D., Ismaeel A.B.",An Architectural Element: Mashrabiya [Mimari Bir Eleman: Maşrabiye*],,Art-Sanat Dergisi
"Oliveira Minuzzi J.D., de Sá D.N.",South American Borders: the Pampa and the Atlantic Forest from the Environmental History perspective [Fronteiras Sul-Americanas: o Pampa e a Mata Atlântica sob a perspectiva da História Ambiental],,Fronteiras(Brazil)
Özsayıner Z.C.,A Calligrapher's Diploma (Ilmiye Icâzetnâmesi) By Mimârzâde Mehmet Ali From Ekrem Hakkı Ayverdi's Collection [Ekrem Hakkı Ayverdi Koleksıyonunda Bulunan Ilmıye Icâzetnâmesının MuzehhıbıMımarzâd Mehmed Alı],,Art-Sanat Dergisi
Volkov D.V.,Bringing democracy into Iran: a Russian project for the separation of Azerbaijan,,Middle Eastern Studies
Gjersø J.F.,"The Great Leap Offshore: Sino-Norwegian Relations and Petro-Knowledge Transfers, 1976-1997",,Enterprise and Society
Asoğlu İ.,"A Survey on Local History of Ottoman Archaeology: Administrators, Archaeologists and Findings in Urfa [Osmanlı Arkeolojisinin Yerel Tarihi Üzerine Bir Gözlem: Urfa'da Idareciler, Arkeologlar ve Bulgular]",,Art-Sanat Dergisi
Kovač D.,A CASE STUDY COMPARING GOOD PRACTICE IN THE USE OF PEDAGOGICAL RESOURCES IN HOLOCAUST EDUCATION IN ENGLAND AND REPUBLIKA SRPSKA,,Istorija 20 Veka
Santos Maia H.J.,"Health, Plague, Science and Ignorance: A Reflection of Environmental History on the Plague of Manchuria [A saúde, a peste, a ciência e a ignorância: uma reflexão da História Ambiental sobre a Peste da Manchúria]",,Fronteiras(Brazil)
Klanovicz J.,"Not all apples are the same: Fruit writing in Henry David Thoreau, and Georges Delbard (1862, and 1986) [Nem todas as maçãs são iguais: A escrita das frutas em Henry David Thoreau e Georges Delbard (1862 e 1986)]",,Fronteiras(Brazil)
Nikolić K.,UNION OF THREE REPUBLICS. THE PEACE PLAN FOR BOSNIA-HERZEGOVINA IN 1993 [UNIJA TRI REPUBLIKE. MIROVNI PLAN ZA BOSNU I HERCEGOVINU IZ 1993. GODINE],,Istorija 20 Veka
Ribeiro M.C.,"Environmental history, environmental education and research: Possibilities of analysis [História Ambiental, educação ambiental e pesquisas: possibilidades de análise]",,Fronteiras(Brazil)
Antić Č.,INTRODUCTION TO HISTORICAL STUDIES AS A COURSE AT THE UNIVERSITY OF BELGRADE [UVOD U ISTORIJSKE STUDIJE KAO UNIVERZITETSKI PREDMET U BEOGRADU],,Istorija 20 Veka
Martyr P.,"A town without pity? Three stories of public exposure, print media, and family histories of madness in Western Australia",,History Australia
"Lee P.-H., Yang Y.-W., Wu H.Y.-J., Liu W.","‘The Future of Taiwan Studies in the Post-covid World’: Online Series on ‘covid and Governance: Global and Social Solidarity’, 31 July 2020",,International Journal of Taiwan Studies
Lahoucine L.,New rock carving sites in Adrar N'Saras. In the upper valley of the Oued Sayyad in Taghjijt [Nouveaux sites de gravures rupestres à Adrar N'Saras. Dans la haute vallée de l'Oued Sayyad à Taghjijt],,Anthropologie (France)
Evliyaoğlu F.,A Research on Mosque and Neighborhood in Rhodes City in the Ottoman Period [Osmanlı Döneminde Rodos Kentindeki Camiler ve Mahalleler Üzerine Bir Inceleme],,Art-Sanat Dergisi
Weller P.,"‘The Problems of the White Ethnic Majority' revisited: a personal, theological and political review",,Practical Theology
