Authors,Title,Discipline,Source title
"Acquaviva G., Morgani I.",Shakespeare (way down) along the Nile How a pidgin adaptation of Cymbeline gave South Sudan its theatre,,Kervan
"Coso B., Bogunovic I.",AN EXPERIMENTAL APPROACH TO NEGATIONS: STUDIES IN CROATIAN AND THEIR CONTRIBUTION TO THE MODELS OF PROCESSING NEGATIONS [EKSPERIMENTALNI PRISTUP NEGACIJI: ISTRAŽIVANJA U HRVATSKOME JEZIKU I NJIHOV DOPRINOS MODELIMA OBRADE NEGACIJE],,Fluminensia
"Kuhar K., Medved M.",NEWLY DISCOVERED GLAGOLITIC FRAGMENTS FROM THE 14TH-15TH CENTURY FOUND IN THE ARCHIVES OF RIJEKA'S BENEDICTINES [NOVOOTKRIVENI GLAGOLJSKI FRAGMENTI IZ 14.-15. ST. U ARHIVU RIJECKIH BENEDIKTINKI],,Fluminensia
"Mlikota J., Bošnjak M.","MORPHOLOGICAL TERMINOLOGY IN MATE MERŠIC MILORADIC'S ""SLOVNICA HERVATSKOGA JEZIKA ZA SELSKE ŠKOLE"" (Croatian Grammar Book for Village Schools) [MORFOLOŠKO NAZIVLJE U SLOVNICI HERVATSKOGA JEZIKA ZA SELSKE ŠKOLE MATE MERŠICA MILORADICA]",,Fluminensia
Kenda J.,DEPENDENCY GRAMMAR: AN EDUCATIONAL RESOURCE FOR THE TEACHING/LEARNING OF ITALIAN L2 [IL MODELLO VALENZIALE: UNA RISORSA DIDATTICA PER L’INSEGNAMENTO/APPRENDIMENTO DI ITALIANO L2] [VALENČNI MODEL: DIDAKTIČNO SREDSTVO ZA POUČEVANJE/UČENJE ITALIJANŠČINE L2],,Journal for Foreign Languages
Cerovšek M.,IMITATION OF CONVERSATION AS A DISCURSIVE STRATEGY IN THE FRENCH SPORTS NEWS DISCOURSE [L’IMITATION DE LA CONVERSATION EN TANT QUE STRATEGIE DE CONNIVENCE DANS LE DISCOURS JOURNALISTIQUE SPORTIF] [KONVERZACIONALIZACIJA KOT DISKURZIVNA STRATEGIJA V FRANCOSKEM NOVINARSKEM DISKURZU O ŠPORTU],,Journal for Foreign Languages
Prosenc I.,THE RECEPTION OF GIORGIO BASSANI’S WORKS IN SLOVENIA [LA RICEZIONE DELLE OPERE DI GIORGIO BASSANI IN SLOVENIA] [RECEPCIJA DEL GIORGIA BASSANIJA V SLOVENIJI],,Journal for Foreign Languages
Currie O.,“PRÉSENTER AUX LECTEURS FRANÇAIS LA LITTÉRATURE ORALE TELLE QU’ELLE SORTAIT DE LA BOUCHE DES PAYSANS”: FOLKLORE COLLECTION AND THE STATUS OF REGIONAL LANGUAGES IN 19TH CENTURY FRANCE [“PRÉSENTER AUX LECTEURS FRANÇAIS LA LITTÉRATURE ORALE TELLE QU’ELLE SORTAIT DE LA BOUCHE DES PAYSANS”: FOLKLORE COLLECTION AND THE STATUS OF REGIONAL LANGUAGES IN 19TH CENTURY FRANCE] [“PRÉSENTER AUX LECTEURS FRANÇAIS LA LITTÉRATURE ORALE TELLE QU’ELLE SORTAIT DE LA BOUCHE DES PAYSANS”: ZBIRANJE SLOVSTVENE FOLKLORE IN STATUS REGIONALNIH JEZIKOV V FRANCIJI V 19. STOLETJU],,Journal for Foreign Languages
Ferlež U.,"HIGHLIGHTS FROM JEAN VODAINE’S LIFE AND WORK ON THE HUNDREDTH ANNIVERSARY OF HIS BIRTH [QUELQUES REMARQUES SUR LA VIE ET L'ŒUVRE DE JEAN VODAINE, POUR HONORER LE CENTENAIRE DE SA NAISSANCE] [NEKAJ POUDARKOV IZ ŽIVLJENJA IN DELA JEANA VODAINA OB STOTI OBLE-TNICI NJEGOVEGA ROJSTVA]",,Journal for Foreign Languages
Valenčič Arh U.,“HIER KOMMEN IHRE GRAUEN ZELLEN IN FAHRT” – PHRASEOLOGICAL UNITS IN ADVERTISEMENTS [“HIER KOMMEN IHRE GRAUEN ZELLEN IN FAHRT” – PHRASEOLOGICAL UNITS IN ADVERTISEMENTS] [„HIER KOMMEN IHRE GRAUEN ZELLEN IN FAHRT“ – FRAZEMI V OGLAŠEVANJU],,Journal for Foreign Languages
"Kim H., Na J., Lee W.B.",Generative Chemical Transformer: Neural Machine Learning of Molecular Geometric Structures from Chemical Language via Attention,,Journal of Chemical Information and Modeling
Sobkowiak P.,Intercultural Teaching in the EFL Classroom - the Polish Context,,International Journal of English Studies
Lysetska N.,The Reception of Lesia Ukrainka’s Works in German: The Significance of the Concept of “Struggle”,,Kyiv-Mohyla Humanities Journal
"Macfarlane A., Hobsbawm E.","History, culture and ethnography: Jack Goody, Clifford James Geertz and Phillippe Descola",,"History, Culture and Ethnography: Jack Goody, Clifford James Geertz and Phillippe Descola"
van de Haar A.,"The Linguistic Coping Strategies of Three Netherlanders in England: Jan van der Noot, Lucas d'Heere, and Johannes Radermacher",,Early Modern Low Countries
Stronks E.,Language as an Object of Empirical Study in the Dutch Republic,,Early Modern Low Countries
"Mendoza M.N., Blumenfeld H.K., Knight R.T., Ries S.K.",Investigating the Link Between Linguistic and Non-Linguistic Cognitive Control in Bilinguals Using Laplacian-Transformed Event Related Potentials,,Neurobiology of Language
"Mas-Herrero E., Adrover-Roig D., Ruz M., De Diego-Balaguer R.",Do Bilinguals Outperform Monolinguals in Switching Tasks? Contrary Evidence for Nonlinguistic and Linguistic Switching Tasks,,Neurobiology of Language
"Carpenter E., Peñaloza C., Rao L., Kiran S.",Clustering and Switching in Verbal Fluency Across Varying Degrees of Cognitive Control Demands: Evidence From Healthy Bilinguals and Bilingual Patients With Aphasia,,Neurobiology of Language
Iraheta A.C.,Interdental/s/in Salvadoran Spanish Linguistic patterns and social meaning,,Spanish in Context
"González P., Bruil M.",The Ecuadorian Spanish benefactive and its inherent aspect A reconstruction,,Spanish in Context
Ralić S.,Cultural Dimension and Identitème in Literary Translation: Between the Universal and the Patrimonial [La dimension culturelle et l’identitème dans la traduction littéraire: Entre universel et patrimonial] [La dimensión cultural y el identitema en la traducción literaria: Entre universal y patrimonial],,Theleme
"Bartmiński J., Berezovich E., Vepreva I., Kovshova M., Shmelev A.",The Interaction of Language and Culture: Research Boundaries and Perspectives [Взаимодействие языка и культуры в исследовательском поле: границы и перспективы],,Quaestio Rossica
Saulan D.,Speaking-thinking-interpreting Subject: Identity Construction and Positioning in Discourse [Sujet parlant-pensant-interprétant: construction identitaire et positionnement dans le discours] [Sujeto hablante-pensante-interpretante: construcción identitaria y su posicionamiento en el discurso],,Theleme
Tchougounnikov S.,The Ideologem as a New Entity of Consciousness and as a Basis for Individuation (the case of the Bakhtin circle) [L’idéologème comme entité mentale et comme base de l’individuation (le cas du cercle de Bakhtine)] [Ideologem como entidad mental y como base de la individuación (el caso del círculo de Bajtín)],,Theleme
Bass A.,Contemporary Historiography on Christianity in Roman Africa [L’HISTORIOGRAPHIE CONTEMPORAINE DU CHRISTIANISME DANS L’AFRIQUE ROMAINE],,Revista de Historiografia
Witkowska-Chrzczonowicz K.,Interwar and contemporary Poland. A comparison of the protection of minority rights in the second and in the third Polish republics,,Comparative Law Review
Lazzaretti L.,Being better together through an inclusive and collaborative approach. Transversal effects of a linguistic education project on 5th and 8th-grade classes [Stare meglio insieme attraverso un approccio inclusivo e collaborativo. Effetti trasversali di un progetto di educazione linguistica su quinte primarie e terze secondarie di primo grado],,Ricerche di Pedagogia e Didattica
López-Narváez J.,From mommet to ugly: An analysis of the linguistic duality and idiolect of Tess Durbeyfield in the Spanish translations of Tess of the d'Urbervilles,,Hikma
"Seibel C., Carlucci L.",Controlled language as a starting point towards easy-to-read texts [El lenguaje controlado: Punto de partida hacia la Lectura fácil],,Hikma
"Hesabi A., Bakhshi M., Sadrnia P.",Metaphors and the Degree of Conventionality in Translation of Prose Fiction: A Fraction of the Whole in Focus,,Hikma
Jiménez M.S.,Translating Linguistic Variation in Comic-Books: Ebony White's Dialect in The Spirit [La traducción de la variación lingüística en los cómics: El dialecto de Ebony White en The Spirit],,Hikma
Pérez J.C.D.,THE ACTOR's NON-MARKED ACCENT [EL ACENTO NO MARCADO DEL ACTOR],,Acotaciones
"Lehmann C., Bergs A.",As if irony was in stock The case of constructional ironies,,Constructions and Frames
"Matticchio A., Sanfelici E.",A HIERARCHICAL TP STRUCTURE IN ANCIENT GREEK,,Journal of Historical Syntax
Ramírez-Cruz H.,Language attitudes and the subjective perception of language in San Andrés and Providencia (Colombia): An integrative approach,,Sociolinguistic Studies
Cerrón-Palomino R.,Another Turn of the Screw: The Etymology of <Quechua> in Quechua and Aymara [Otra vuelta de tuerca: la etimología de <quechua> en quechua y aimara],,Indiana
"Kovalenko O.V., Yepyk L.I., Korzh-Usenko L.V., Skorobahatska O.I., Oliinyk O.S.",Formation of Multicultural Competence of Future Tourist Support Specialists (Guides) as a Pedagogical Problem,,Journal of Higher Education Theory and Practice
Hoyte-West A.,EU MULTILINGUALISM AND THE LANGUAGES OF THE EASTERN PARTNERSHIP COUNTRIES: AN EXPLORATORY OVERVIEW,,Palimpsest
Gjurčinova A.,Blaže Koneski and Dante Alighieri - A Homage to the Poets and Their Poetry [BLAŽE KONESKI E DANTE ALIGHIERI - OMAGGIO AI POETI E ALLA POESIA],,Palimpsest
Vitanova-Ringaceva A.,Two Anniversaries - Two Pivots' Centuries (The Two Great Macedonian Anniversaries - 95 years since the Death of Krste Petkov Misirkov and 100 years since the Birth of Blaze Koneski) [ДВЕ ГОДИШНИНИ – ДВА СТОЖЕРНИ ВЕКА (Кон двата големи македонски јубилеи – 95 години од смртта на Крсте Петков Мисирков и 100 години од раѓањето на Блаже Конески)],,Palimpsest
"Khamratana S., Adunyarittigun D.",Critical Pedagogy for Transforming Literacy Education at Border Schools in Thailand,,Journal of Mekong Societies
Zhao C.,"From culture to (un)shared concept: networking literal, cross-cultural, and conceptual aspects in the CEDU",,Lexicography
Khalil-Butucioc D.,The art of dialogue or „How the Bessarabian playwrights of the 1990s discussed with Plato” [ARTA DIALOGULUI SAU „CUM DRAMATURGII BASARABENI AI ANILOR’90 DISCUTAU CU PLATON”],,Revista Arta
"Iturriaga C., Young A.",Deaf Students' Translanguaging Practices in a Further Education College: Situating the Semiotic Repertoire in Social Interactions,,Journal of deaf studies and deaf education
Ruiz N.S.,Fabius Planciades Fulgentius’ Expositio sermonum antiquorum and its relationship with the Alfonso Fernández de Palencia’s Universal Vocabulario (1490) [La Expositio sermonum antiquorum de Fabio Plancíades Fulgencio y su relación con el Universal Vocabulario (1490) de Alfonso Fernández de Palencia],,Minerva Revista de Filologia Clasica
Alkhammash R.,The social media framing of gender pay gap debate in American women’s sport: A linguistic analysis of emotive language,,"Training, Language and Culture"
"Arteaga J.F., Ruiz P.R., Delgado J.A.G., Ríos D.G.",Flipped Classroom Teaching in Organic Chemistry in the Context of CLIL,,Journal of Higher Education Theory and Practice
Waligóra A.,The Poet’s Two Bodies. A Performative Reading of Eugeniusz Tkaczyszyn-Dycki’s Work [Dwa ciała poety. Eugeniusza Tkaczyszyna-Dyckiego lektura performatywna],,Przestrzenie Teorii
de Faria R.T.,LINGUISTIC TERMINOLOGIES IN THE TEACHING OF CLASSICAL LANGUAGES (CL) AND PORTUGUESE (EP): THE CASE OF SYNTACTIC FUNCTIONS. MATCHES AND MISMATCHES [TERMINOLOGIAS LINGUÍSTICAS NO ENSINO DAS LÍNGUAS CLÁSSICAS (LC) E DO PORTUGUÊS (PE): O CASO DAS FUNÇÕES SINTÁTICAS. (IN)CORRESPONDÊNCIAS],,Boletim de Estudos Classicos
"Rahman M.M., Singh M.K.M.",English and Malay language policy and planning in Malaysia,,"Training, Language and Culture"
Khezrlou S.,Effects of task repetition with written corrective feedback on the knowledge and written accuracy of learners with different prior knowledge of the structure [Efectos de la repetición de tareas con retroalimentación correctiva escrita en el conocimiento y la precisión escrita de aprendices con diferente conocimiento previo de la estructura],,Revista Espanola de Linguistica Aplicada
"Cabezas-García M., Chambó S.",Multi-word term variation: Prepositional and adjectival complex nominals in Spanish [La variación en los términos compuestos: Compuestos nominales preposicionales y adjetivales en español],,Revista Espanola de Linguistica Aplicada
"Peng S., Carrero C.A.M.",Politeness strategies and negative reviews in e-commerce: A Sino-Spanish contrastive study [Estrategias de cortesía y valoraciones negativas en el comercio electrónico: Un estudio contrastivo chino-español],,Revista Espanola de Linguistica Aplicada
Tacoronte A.L.,Quantification and poverty of resources [Cuantificación y pobreza de recursos],,Revista Espanola de Linguistica Aplicada
Pajares D.P.,Linguistic spanishness in madrid high school students [El españolismo lingüístico en el alumnado madrileño de Bachillerato],,Revista Espanola de Linguistica Aplicada
"Ranieri L.P., Fattori A.",Hands on clay: Notes for an approach to the materiality of cuneiform writing [Mãos na argila: Notas para uma abordagem da materialidade da escrita cuneiforme1],,Anais do Museu Paulista
Padilla L.,First person singular subject pronoun expression in Equatoguinean Spanish,,Journal of Monolingual and Bilingual Speech
"Morales M., Alfano A.R., Medina A.M.",Spanish-speaking parents' experiences after English-only and Spanish-only interactions with their children,,Journal of Monolingual and Bilingual Speech
"Agrawal A., McNair L.D.",An intersectional analysis of the english-competency experiences of international teaching assistants,,Journal of International Students
"Lakhotia K., Kharitonov E., Hsu W.-N., Adi Y., Polyak A., Bolte B., Nguyen T.-A., Copet J., Baevski A., Mohamed A., Dupoux E.",On generative spoken language modeling from raw audio,,Transactions of the Association for Computational Linguistics
"Jansen S., Braber N.",Foot -fronting and foot - strut splitting: vowel variation in the East Midlands,,English Language and Linguistics
Kasa D.,Greetings of thai speakers: Content and linguistic strategies,,Kasetsart Journal of Social Sciences
"de Paula L., de Santana W.K.F., Francelino P.F., da Silveira É.L.",(Dis)legitimacy of consciences in stalinist Russia [(Des)legitimidade de consciências na Rússia stalinista],,Acta Scientiarum Language and Culture
de Oliveira M.,Imperative expression in social distancing campaigns: from the perspective of speech act theory [O modo imperativo na campanha de isolamento social: uma leitura a partir da teoria dos atos de fala],,Acta Scientiarum Language and Culture
Crifò F.,Learned and popular loanwords from Latin in the historical Romance lexicography (with particular regard to the Lessico Etimologico Italiano) [Trafile dotte e popolari del latino nella lessicografia storica romanza (con particolare riguardo al Lessico Etimologico Italiano)],,Zeitschrift fur Romanische Philologie
"Giralt Latorre J., Moret Oliver M.T.",From manuscript to current record: Ribagorza toponymy in medieval texts written in Catalan [Del manuscrito al registro actual: Toponimia ribagorzana en textos medievales escritos en catalán],,Zeitschrift fur Romanische Philologie
Ogurisu H.,Commentaires sur des vers problématiquesdu manuscrit de Cambridge du Roland,,Zeitschrift fur Romanische Philologie
Shih C.-L.,How to empower machine-translation-to-web pre-editing from the perspective of grice’s cooperative maxims,,Theory and Practice in Language Studies
Alhazmi A.A.,The ideology of language purism in online interaction of arabic speakers,,Theory and Practice in Language Studies
Omar L.I.,Kamil kilani’s adaptation of shakespeare in arabic children’s literature: Acculturation versus enculturation,,Theory and Practice in Language Studies
"Ahmed A., Lenchuk I.",Narrating the meaning of existence: an analysis of the autobiographical narratives of three translingual writers,,Theory and Practice in Language Studies
Zhang W.,The efficacy of computer-mediated feedback in improving l2 speaking: A systematic review,,Theory and Practice in Language Studies
"Balduino A.M., de Araujo G.A., Agostinho A.L.",São Tomé and Príncipe’s Toponymy [Toponímia de São Tomé e Príncipe],,Acta Scientiarum Language and Culture
Shabbat M.,Heimweh: The Torn Identity of Lemberg-Lwów’s Intellectual Jewry,,Quest. Issues in Contemporary Jewish History
Fauzi I.,The Variability in Phonology of Indonesian Learner’s Interlanguage: A case study on English marked-fricatives,,International Journal of Language Education
Leonard S.P.,‘SECULARISATION OF THE WORD’: THE SEMIOTIC IDEOLOGIES OF RUSSIAN ORTHODOX BLOGGERS,,Journal for the Study of Religions and Ideologies
"Kim H., Lee B.",Distinct L2 Reading-Related Subgroups of Korean EFL First-year High School Learners: Latent Profile Analysis,,Journal of Asia TEFL
"Bumar K., Filonenko N.",HYBRIDIZATION OF TYPES OF SOCIALLY MARKED VOCABULARY IN MODERN ITALIAN FICTION,,Cogito
"Bwetenga T.R., Nhatuve D.",Linguistic cultural heritage of politeness strategies among the Shona and Ndebele of Zimbabwe,,"Language, Discourse and Society"
None,"“What Movie Will I Watch Today? The Role of Online Review Ratings, Reviewers’ Comments, and User’s Gratifi cation Style”",,Projections (New York)
Jacquin J.,Evolution of linguistic complexity in Hearthstone: A resource and an example in linguistic game studies,,Digital Scholarship in the Humanities
"Ramón G., Ciudad L.A.",THE “GUZMANGO LANGUAGE” IN COLONIAL CAJAMARCA: CONTEXT AND PERSPECTIVES [LA “LENGUA GUZMANGO” EN CAJAMARCA COLONIAL: CONTEXTO Y PERSPECTIVAS],,Chungara
Bird G.,Philosophical Tasks: An Introduction to Some Aims and Methods in Recent Philosophy,,Philosophical Tasks: An Introduction to Some Aims and Methods in Recent Philosophy
Nash W.,Language in popular fiction,,Language in Popular Fiction
"Lebkuecher A.L., Malt B.C.",Second-Language Influence on First-Language Animacy Constraints and Word Order in Korean–English Bilinguals,,American Journal of Psychology
Ortega Y.,Transformative Pedagogies for English Teaching: Teachers and Students Building Social Justice Together,,Applied Linguistics
Williams Q.,Into Collabs: Public Applied Linguistics and Hip Hop Language Technicians,,Applied Linguistics
"Hamm-Rodríguez M., Medina C.L.",Intra-Caribbean Solidarities and the Language of Social Protest,,Applied Linguistics
Estruch A.T.I.,LEGISLATIVE REPORTS ON EUROPEAN UNION [CRÒNICA LEGISLATIVA DE LA UNIÓ EUROPEA],,Revista de Llengua i Dret
"Parera E.P., Pujolràs A.P.",JURISPRUDENCE BY THE SPANISH CONSTITUTIONAL COURT [JURISPRUDÈNCIA DEL TRIBUNAL CONSTITUCIONAL],,Revista de Llengua i Dret
Albert R.S.I.,PARLIAMENTARY REPORT ON CATALONIA [CRÒNICA PARLAMENTÀRIA DE CATALUNYA],,Revista de Llengua i Dret
Monzó-Nebot E.,REPRESENTATION OF WOMEN AND LINGUISTIC USAGE. A REVIEW OF STUDIES ON THE INTERPLAY OF MASCULINE FORMS AND GENDER BIAS [LA REPRESENTACIÓ DE LA DONA I ELS USOS LINGÜÍSTICS. REVISIÓ D’ESTUDIS SOBRE LA INTERACCIÓ ENTRE LES FORMES MASCULINES I EL BIAIX DE GÈNERE],,Revista de Llengua i Dret
"Rodrigue C.S., Riaño X.A.G.","THE ASTURIAN LANGUAGE AND ITS STATUS AS AN OFFICIAL LANGUAGE. LEGAL PECULIARITIES, SOCIOCULTURAL STRENGTHS AND MINORITISATION DISCOURSES [LA LENGUA ASTURIANA ANTE SU OFICIALIDAD. PARTICULARIDADES JURÍDICAS, FORTALEZAS SOCIOCULTURALES Y DISCURSOS DE MINORIZACIÓN1]",,Revista de Llengua i Dret
Burban C.,CITIZENS OPPOSED TO THE STANDARDISATION OF CATALAN IN EDUCATION: THEIR DISCOURSE [LES DISCOURS D’OPPOSITION CITOYENS CONTRE LA NORMALISATION DU CATALAN DANS L’ENSEIGNEMENT],,Revista de Llengua i Dret
Martín J.R.I.,LEGISLATIVE REPORTS ON CATALONIA [CRÒNICA LEGISLATIVA DE CATALUNYA],,Revista de Llengua i Dret
[No author name available],LEGISLATIVE REPORTS ON BASQUE COUNTRY [CRÓNICA LEGISLATIVA DEL PAÍS VASCO],,Revista de Llengua i Dret
Isanta A.T.,LANGUAGE IDEOLOGIES WITH REGARD TO CATALAN AND SPANISH: AUTHENTICITY AND ANONYMITY AMONG THE UNIVERSITY STUDENTS OF BARCELONA AND PALMA [IDEOLOGIES LINGÜÍSTIQUES ENVERS EL CATALÀ I EL CASTELLÀ: L’AUTENTICITAT I L’ANONIMAT ENTRE ELS UNIVERSITARIS DE BARCELONA I PALMA],,Revista de Llengua i Dret
Llorca C.M.,“THE CURSE OF BABEL”. JOURNALISM CHRONICLES OF SPANISH LINGUISTIC NATIONALISM [“LA MALDICIÓN DE BABEL”. CRÓNICAS PERIODÍSTICAS DEL NACIONALISMO LINGÜÍSTICO ESPAÑOL1],,Revista de Llengua i Dret
Pérez N.B.,LEGISLATIVE REPORTS ON ASTURIAS [CRÓNICA LLEXISLATIVA D’ASTURIES],,Revista de Llengua i Dret
"Jiménez-Salcedo J., Carbonneau J.-R.",ONE-WAY BILINGUALISM: THE OBSTACLES TO INSTITUTIONAL COMPLETENESS OF SPAIN’S LANGUAGES [BILINGÜISME DE SENTIT ÚNIC: ELS OBSTACLES A LA PLENITUD INSTITUCIONAL DE LES LLENGÜES PERIFÈRIQUES DE L’ESTAT ESPANYOL],,Revista de Llengua i Dret
"Parera E.P., Pujolràs A.P.",JURISPRUDENCE BY THE SPANISH SUPREME COURT [JURISPRUDÈNCIA DEL TRIBUNAL SUPREM],,Revista de Llengua i Dret
Raga R.M.,LEGISLATIVE REPORTS ON VALENCIAN COUNTRY [CRÒNICA LEGISLATIVA DE LA COMUNITAT VALENCIANA],,Revista de Llengua i Dret
"Breda K., Krämer P.",COUNTERING LINGUISTIC RIGHTS IN SPAIN THROUGH LANGUAGE MAKING: THE DISCURSIVE DELEGITIMIZATION OF BASQUE IN ONLINE DEBATES,,Revista de Llengua i Dret
"Takeuchi J., Sakuma M., Ohta Y., Ida H., Morimoto T.",Differences in adverse drug events and medication errors among pediatric inpatients aged <3 and ≥3 years: The JADE study,,Journal of Patient Safety and Risk Management
Adamczyk R.,"Czech and English terminology of health and impaired health in historical, societal and conceptual framework [ČESKÁ A ANGLICKÁ TERMINOLOGIE ZDRAVÍ A PORUCH ZDRAVÍ V historick O-SPOLECENSKÉM A KONCEPTUÁLNÍM RÁMCI]",,Jazykovedny Casopis
Kuzeev S.,"Tell me what it feels like"": On the verbal interface of the phenomenal [""POVEDZ MI, AKÝ JE TO POCIT"": O JAZYKOVOM STVÁRNENÍ FENOMENÁLNA]",,Jazykovedny Casopis
Nolan E.,"ATHENIANS, AMAZONS, AND SOLECISMS: LANGUAGE CONTACT IN HERODOTUS",,American Journal of Philology
Czarnecka M.,Translation of Children's Speech in Frank Schaeffer's Portofino,,Studia Anglica Posnaniensia
Hsu A.-N.,"The Self-concealing Translator, and the Translator Concealed: The German Translation of Mazu’s Bodyguards as Example",,Wenshan Review of Literature and Culture
Lipenga T.,Language translation and code-switching in Yemi Alade's music [La Traduction et l’alternance de code linguistique dans la musique de Yemi Alade],,International Journal of Francophone Studies
Sussman H.,The Poet as Cyber-Linguistic Programmer of Her Age: McCaffery,,CounterText
Kablitz A.,Literary Hermeneutics: For What Reason and for What Purpose Does One Engage in Literary Interpretation? [Literarische Hermeneutik: Aus welchem Grund und zu welchem Ende betreibt man Literaturinterpretation?],,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik
"Martínez López J.A., Tejedor M.R.","Literality, irony and calculated ambiguity [Literalidad, ironía y ambigüedad calculada]",,Estudios Filologicos
de Castro F.F.,"Phonetic Texts from El Salvador, Nicaragua, Costa Rica and Panamá (1960-2006) [Textos fonéticos de El Salvador, Nicaragua, Costa Rica y Panamá (1960-2006)]",,Estudios Filologicos
Breitenstein P.H.,Shattering the appearance of naturalness: Natural history between Marx and Adorno [Zerschlagen des Scheins der Naturwüchsigkeit],,Deutsche Zeitschrift fur Philosophie
Hopwood L.,Creative Bilingualism in Late-Medieval Welsh Poetry,,Studia Celtica
Broderick G.,Professor John Rhŷs in the Isle of Man (1886–1893): A Linguistic Assessment,,Studia Celtica
"Saal E., Fourie A.",“dit en dat” (“this and that”) and “al daai goed” (“all that stuff”): A corpus-linguistic study of pragmatic markers in spoken Afrikaans [“ditendat”en“aldaaigoed”:’nKorpuslinguistiese ondersoek na pragmatiese merkers in gesproke Afrikaans],,Tydskrif vir Geesteswetenskappe
Boscariol M.,Securitizzazione e stato di eccezione: sulle origini schmittiane della Scuola di Copenaghen,,Ragion Pratica
Popa A.B.,The Future as a Scenario of Hospitality in Ali Smith's There but for the,,"American, British and Canadian Studies"
"Phan T., Trinh T., Phan H.",Deriving four generalizations about nominals in three classifier languages,,Canadian Journal of Linguistics
"Im K.H., Kim W., Hong S.-J.",A Study on Single Pilot Resource Management Using Integral Fuzzy Analytical Hierarchy Process,,Safety
"Dobrov A., Smirnova M.","From Graphematics to Phrasal, Sentential, and Textual Semantics Through Morphosyntax by Means of Corpus-Driven Grammar and Ontology: A Case Study on One Tibetan Text",,Jazykovedny Casopis
Kolumbán K.,Saying 'No' to Immigration Quota: An Analysis of Evaluative Language in Hungarian and Romanian Political Discourse,,"Acta Universitatis Sapientiae, Philologica"
"Biró E., Kovács G., Nagy I.K.",Change(s) in Vocabulary(/ies) - Hungarian and Romanian Lexical Phenomena during COVID,,"Acta Universitatis Sapientiae, Philologica"
Moreira F.,Plastic and Intersemiotic Confluences in Lispector’s Água viva [Confluências plásticas e intersemióticas em Água viva],,Catedral Tomada
Biró E.,"Speak Global, Sell Local? Digital Linguistic Landscape of Local Small Businesses in the Social Media",,"Acta Universitatis Sapientiae, Philologica"
"Istók B., Lorincz G.",Virolinguistics: Introduction to the Study of the Coronavirus Language,,"Acta Universitatis Sapientiae, Philologica"
Chefneux G.,Metaphors in Crisis (On COVID-19 in Romanian and US Articles),,"Acta Universitatis Sapientiae, Philologica"
"Laubeová Z., Škrabal M.",The New Value of the Structural Attribute Section in the SYN v8 Corpus and its Possible Application in Linguistic Research,,Jazykovedny Casopis
Tódor E.-M.,Language Use during Romanian Classes in Bilingual Settings. A Qualitative Approach,,"Acta Universitatis Sapientiae, Philologica"
"Perdih A., Ahačič K., Jovnik J., Race D.",Building an Educational Language Portal Using Existing Dictionary Data,,Jazykovedny Casopis
"Lyashevskaya O., Afanasev I.",An HMM-Based PoS Tagger for Old Church Slavonic,,Jazykovedny Casopis
"Benić J., Filipić L.",A synchronic and diachronic computer corpus of Makarska littoral dialects (Croatia),,Jazykovedny Casopis
Phillips N.,"Digital Cities, Digital Crimes: Mapping Spanish Detective Fiction",,Hispania
Braxatorisova A.,On conceptual and axiological aspects of the word mutter mother in context (based on corpus material),,Jazykovedny Casopis
"Cech R., Macutek J., Kosek P.",Czech Translations of the Gospel of Matthew from the Diachronic Point of View - Plus Ca Change,,Jazykovedny Casopis
"Semenov K.I., Titizian A.K., Piskunova A.O., Korotkova Y.O., Tsvetkova A.D., Volf E.A., Konovalova A.S., Kuznetsova Y.N.","Linguistic Annotation of Translated Chinese Texts: Coordinating Theory, Algorithms and Data",,Jazykovedny Casopis
Restrepo-Ramos F.,Writing to Increase Complexity: Spanish L2 Learners’ Complexity Gains in a College Composition Class,,Hispania
"Lahjouji-Seppala M.Z., Rabus A.",A Robust Approach to Variation in Carpathian Rusyn: Resampling-Based Methods for Small Data Sets,,Jazykovedny Casopis
"Wu J., Roever C.",Proficiency and Preference Organization in Second Language Mandarin Chinese Refusals,,Modern Language Journal
"Seliverstova L., Levitskaya A., Seliverstov I.",Media Representation of the Image of the Russian Political Leader in Western Online Media (On the Material Daily News and der Spiegel),,International Journal of Media and Information Literacy
"Benite C.R.M., Camargo M.J.R., Benite A.M.C.",Communicative Acting and Inclusive Education: a possibility for analysis of teaching training in a virtual classroom [O AGIR COMUNICATIVO E A EDUCAÇÃO INCLUSIVA: UMA POSSIBILIDADE DE ANÁLISE DA FORMAÇÃO DOCENTE EM AMBIENTE VIRTUAL],,Investigacoes em Ensino de Ciencias
Slutskiy Y.,Video Component of Media Education in Direct and Reverse Acculturation at North Carolina State University and Texas Christian University,,International Journal of Media and Information Literacy
"Maceno N.G., Giordan M.",The characteristics of national and international research on the production of learning evaluation in discursive interactions [CARACTERÍSTICAS DE PESQUISAS NACIONAIS E INTERNACIONAIS SOBRE A PRODUÇÃO DA AVALIAÇÃO DA APRENDIZAGEM EM INTERAÇÕES DISCURSIVAS],,Investigacoes em Ensino de Ciencias
